Scrollable Height,	 UIM/VIM Name,		 Type,	 UIM References,	 Dupliacte,	 Number of Scrollable Lists,	 Expandable List Ref,	 CADG Page,	
95,	 Authorisation_useExistingAnyClientsMatchOrCreateNewView.vim,		 N/A,	 ProgramAuthorisation_useExistingAnyClientsMatchOrCreateNew.uim,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProgramAuthorisation_useExistingAnyClientsMatchOrCreateNew.html,	
95,	 Authorisation_forIC.vim,		 N/A,	 ApplicationAuthorisation_forICAndOP.uim,	 No,	3,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ApplicationAuthorisation_forICAndOP.html,	
95,	 Authorisation_forOP.vim,		 N/A,	 N/A,	 No,	4,	false,	,	
100,	 ProviderManagement_addPOPerformanceMeasure.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProviderManagement_addPOPerformanceMeasure.html,	
100,	 ProviderManagement_searchAvailablePlaces.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProviderManagement_searchAvailablePlaces.html,	
100,	 Authorisation_useExistingExactClientsMatchOrCreateNewView.vim,		 N/A,	 ApplicationAuthorisation_useExistingExactClientsMatchOrCreateNew.uim,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ApplicationAuthorisation_useExistingExactClientsMatchOrCreateNew.html,	
100,	 ProviderManagement_searchServiceOfferingPopup.uim,		 NonModal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProviderManagement_searchServiceOfferingPopup.html,	
100,	 ProgramAuthorisation_useExistingExactClientsMatch_reuseICAndSelectClients.uim,		 N/A,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProgramAuthorisation_useExistingExactClientsMatch_reuseICAndSelectClients.html,	
100,	 Case_selectProFormaTypeView1.vim,		 Modal,	 Case_selectProFormaType1.uim,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/Case_selectProFormaType1.html,	
100,	 OutcomePlan_createOutcomePlanExpectedOutcomeMultipleClients.uim,		 N/A,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/OutcomePlan_createOutcomePlanExpectedOutcomeMultipleClients.html,	
100,	 ProviderManagement_addEvaluationCriteriaToSOPerformanceMeasure.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProviderManagement_addEvaluationCriteriaToSOPerformanceMeasure.html,	
100,	 ProviderManagement_selectTrainingForProvider.uim,		 NonModal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProviderManagement_selectTrainingForProvider.html,	
100,	 Supervisor_reassignCasesForUserWithSearch.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/Supervisor_reassignCasesForUserWithSearch.html,	
100,	 ProviderManagement_searchContractPerformanceMeasurePopup.uim,		 NonModal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProviderManagement_searchContractPerformanceMeasurePopup.html,	
100,	 ProviderManagement_searchByTrainingNameUnitMeasureForProviderGroup.uim,		 NonModal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProviderManagement_searchByTrainingNameUnitMeasureForProviderGroup.html,	
100,	 MultidisciplinaryTeamMember_viewModalView.vim,		 Modal,	 MultidisciplinaryTeamMember_viewModalForMinutes.uim,	 No,	3,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/MultidisciplinaryTeamMember_viewModalForMinutes.html,	
100,	 Supervisor_forwardTasksReservedByUserSearch.uim,		 Modal,	 N/A,	 No,	2,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/Supervisor_forwardTasksReservedByUserSearch.html,	
