Scrollable Height,	 UIM/VIM Name,		 Type,	 UIM References,	 Dupliacte,	 Number of Scrollable Lists,	 Expandable List Ref,	 CADG Page,	
125,	 ProviderManagement_relatedServiceAuthorizationLineItems.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProviderManagement_relatedServiceAuthorizationLineItems.html,	
125,	 MeetingAttendence_modify.uim,		 NonModal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/MeetingAttendence_modify.html,	
125,	 ProviderManagement_searchTrainingByTrainingNameUnitMeasureForProviderMember.uim,		 NonModal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProviderManagement_searchTrainingByTrainingNameUnitMeasureForProviderMember.html,	
125,	 ProviderManagement_viewLocalizableSONameText.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProviderManagement_viewLocalizableSONameText.html,	
125,	 ProviderManagement_listMemberCertificationChangeHistory.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProviderManagement_listMemberCertificationChangeHistory.html,	
125,	 CaseAudit_selectCase.uim,		 Modal,	 N/A,	 No,	2,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/CaseAudit_selectCase.html,	
125,	 CalendarMeetingMinutes_createActionView.vim,		 Modal,	 CalendarMeetingMinutes_createAction.uim,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/CalendarMeetingMinutes_createAction.html,	
125,	 ProviderManagement_viewLocalizableTextView.vim,		 Modal,	 ProviderManagement_viewLocalizableTextTranslation.uim,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProviderManagement_viewLocalizableTextTranslation.html,	
125,	 Meeting_inviteAttendeeFromSEF.uim,		 N/A,	 N/A,	 No,	4,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/Meeting_inviteAttendeeFromSEF.html,	
125,	 ServicePlanAdmin_addServicePlanToServicePlanGroup.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ServicePlanAdmin_addServicePlanToServicePlanGroup.html,	
125,	 ProviderManagement_searchTrainingByTrainingNameUnitMeasureForProviderGroupMember.uim,		 NonModal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProviderManagement_searchTrainingByTrainingNameUnitMeasureForProviderGroupMember.html,	
125,	 Activity_inviteAttendeeToRecurringActivity.vim,		 Modal,	 Activity_inviteAttendeeToRecurringActivityFromView.uim,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/Activity_inviteAttendeeToRecurringActivityFromView.html,	
125,	 ProviderManagement_listClientsForServiceInvoiceLineItem.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProviderManagement_listClientsForServiceInvoiceLineItem.html,	
125,	 ProviderManagement_addTaxonomyTermsToPO.uim,		 NonModal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProviderManagement_addTaxonomyTermsToPO.html,	
125,	 ProviderManagement_selectTrainingForProviderMember.uim,		 NonModal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProviderManagement_selectTrainingForProviderMember.html,	
125,	 ProviderManagement_searchServiceOfferingForProviderPopup.uim,		 N/A,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProviderManagement_searchServiceOfferingForProviderPopup.html,	
125,	 MDTCollaboration_listSharingDetailsRow.vim,		 Modal,	 Case_viewAttachment.uim,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/Case_viewAttachment.html,	
125,	 ProviderManagement_viewTrainingDetails.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProviderManagement_viewTrainingDetails.html,	
125,	 ServicePlanDelivery_ICCreateView.vim,		 Modal,	 ServicePlanDelivery_ICCreate.uim,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ServicePlanDelivery_ICCreate.html,	
125,	 ProviderManagement_searchTrainingByTrainingTypeForProviderMember.uim,		 NonModal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProviderManagement_searchTrainingByTrainingTypeForProviderMember.html,	
125,	 CaseAudit_PDCaseSampleManualSearch.uim,		 NonModal,	 N/A,	 No,	2,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/CaseAudit_PDCaseSampleManualSearch.html,	
125,	 ProviderManagement_viewServiceAuthorizationLineItems.uim,		 NonModal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProviderManagement_viewServiceAuthorizationLineItems.html,	
125,	 ProviderManagement_addExistingPlaces1.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProviderManagement_addExistingPlaces1.html,	
125,	 ServicePlanDelivery_selectPlanItem.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ServicePlanDelivery_selectPlanItem.html,	
125,	 ProviderManagement_selectTrainingForProviderGroup.uim,		 NonModal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProviderManagement_selectTrainingForProviderGroup.html,	
125,	 ProviderManagement_selectTrainingForProviderGroupMember.uim,		 NonModal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProviderManagement_selectTrainingForProviderGroupMember.html,	
125,	 CalendarMeetingMinutes_issueMinutes.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/CalendarMeetingMinutes_issueMinutes.html,	
125,	 ProviderManagement_searchInEditTaxonomyTermsByKeyWordPopup.uim,		 N/A,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProviderManagement_searchInEditTaxonomyTermsByKeyWordPopup.html,	
125,	 ProviderManagement_searchTaxonomyTermsByKeyWordPopup.uim,		 NonModal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProviderManagement_searchTaxonomyTermsByKeyWordPopup.html,	
125,	 CaseAudit_LPDCaseSampleManualSearch.uim,		 NonModal,	 N/A,	 No,	2,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/CaseAudit_LPDCaseSampleManualSearch.html,	
125,	 CTM_viewReleasedChangeSet.uim,		 NonModal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/CTM_viewReleasedChangeSet.html,	
125,	 ProviderManagement_benefitDeliveryMethodPopup.uim,		 N/A,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProviderManagement_benefitDeliveryMethodPopup.html,	
125,	 Case_viewNote1.uim,		 NonModal,	 N/A,	 No,	1,	true,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/Case_viewNote1.html,	
125,	 ServicePlanGroupDelivery_addServicePlanDelivery.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ServicePlanGroupDelivery_addServicePlanDelivery.html,	
125,	 ProviderManagement_submitServiceInvoiceLineItems.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProviderManagement_submitServiceInvoiceLineItems.html,	
125,	 ProviderManagement_viewProviderCategoryTypes.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProviderManagement_viewProviderCategoryTypes.html,	
125,	 OutcomePlanningAdmin_recommendObjectiveFromAssessmentFactor.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/OutcomePlanningAdmin_recommendObjectiveFromAssessmentFactor.html,	
125,	 ProviderManagement_approveSubmittedSILI.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProviderManagement_approveSubmittedSILI.html,	
125,	 Meeting_createMeeting.uim,		 Modal,	 N/A,	 No,	4,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/Meeting_createMeeting.html,	
125,	 ProviderManagement_addSOPerformanceMeasure.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProviderManagement_addSOPerformanceMeasure.html,	
125,	 ProviderManagement_selectLiabilityToApplyDeductionDetails.uim,		 NonModal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProviderManagement_selectLiabilityToApplyDeductionDetails.html,	
125,	 ProviderManagement_viewContractStatusHistory.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProviderManagement_viewContractStatusHistory.html,	
125,	 MeetingActions_modify.uim,		 NonModal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/MeetingActions_modify.html,	
125,	 ServicePlanDelivery_selectMilestone.uim,		 N/A,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ServicePlanDelivery_selectMilestone.html,	
125,	 AssessmentDelivery_summary.uim,		 NonModal,	 N/A,	 No,	6,	true,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/AssessmentDelivery_summary.html,	
125,	 ProviderManagement_viewServiceAuthorizationBudgetInformation.uim,		 NonModal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProviderManagement_viewServiceAuthorizationBudgetInformation.html,	
125,	 ServicePlanDelivery_selectPlannedSubGoalType.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ServicePlanDelivery_selectPlannedSubGoalType.html,	
125,	 OutcomePlanningAdmin_recommendObjectiveFromOutcomePlanFactor.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/OutcomePlanningAdmin_recommendObjectiveFromOutcomePlanFactor.html,	
125,	 ProviderManagement_searchWaitListForProviderOffering.uim,		 NonModal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProviderManagement_searchWaitListForProviderOffering.html,	
125,	 ServicePlanDelivery_expectedOutcomeSearchPopup.uim,		 N/A,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ServicePlanDelivery_expectedOutcomeSearchPopup.html,	
125,	 Case_createAttachment.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/Case_createAttachment.html,	
125,	 CaseAudit_InvestigationCaseSampleManualSearch.uim,		 NonModal,	 N/A,	 No,	2,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/CaseAudit_InvestigationCaseSampleManualSearch.html,	
125,	 ProviderManagement_searchPersonRepresentativePopup.uim,		 NonModal,	 N/A,	 No,	2,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProviderManagement_searchPersonRepresentativePopup.html,	
125,	 ProviderManagement_searchTrainingByTrainingTypeForProviderGroupMember.uim,		 NonModal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProviderManagement_searchTrainingByTrainingTypeForProviderGroupMember.html,	
127,	 CreateActionWizard_details.uim,		 NonModal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/CreateActionWizard_details.html,	
130,	 SocialEnterpriseFolder_createIncident.uim,		 Modal,	 N/A,	 No,	2,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/SocialEnterpriseFolder_createIncident.html,	
135,	 IssueDelivery_listResolutionStatusHistoryView.vim,		 Modal,	 IssueDelivery_listResolutionStatusHistory.uim,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/IssueDelivery_listResolutionStatusHistory.html,	
140,	 CREOLEProgramRecommendation_selectProgramsForApplication.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/CREOLEProgramRecommendation_selectProgramsForApplication.html,	
150,	 DecisionAssistAdmin_decisionMatrixQuestionPopup.uim,		 N/A,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/DecisionAssistAdmin_decisionMatrixQuestionPopup.html,	
150,	 ServicePlanAdmin_addOutcomesToPlanItem.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ServicePlanAdmin_addOutcomesToPlanItem.html,	
150,	 CaseAudit_removeAssignment.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/CaseAudit_removeAssignment.html,	
150,	 ServiceDelivery_addActivityEvidence.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ServiceDelivery_addActivityEvidence.html,	
150,	 ServicePlanAdmin_expectedOutcomeSearchPopup.uim,		 N/A,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ServicePlanAdmin_expectedOutcomeSearchPopup.html,	
150,	 CaseAudit_removeAssignCaseAudits.uim,		 NonModal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/CaseAudit_removeAssignCaseAudits.html,	
150,	 CaseAudit_listForAuditorUser.uim,		 NonModal,	 N/A,	 No,	2,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/CaseAudit_listForAuditorUser.html,	
150,	 LegalAction_createOrder.uim,		 N/A,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/LegalAction_createOrder.html,	
150,	 ProviderManagement_searchAvailablePlacesForReservation.uim,		 N/A,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProviderManagement_searchAvailablePlacesForReservation.html,	
150,	 CaseAudit_assignCaseAudits.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/CaseAudit_assignCaseAudits.html,	
150,	 OutcomePlanningAdmin_editRecommendation.uim,		 N/A,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/OutcomePlanningAdmin_editRecommendation.html,	
150,	 OutcomePlan_accessibleCreateFromParentCase.uim,		 N/A,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/OutcomePlan_accessibleCreateFromParentCase.html,	
150,	 IntakeSummary_listDetails.uim,		 N/A,	 N/A,	 No,	2,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/IntakeSummary_listDetails.html,	
150,	 OutcomePlan_viewReviewItemsView.vim,		 N/A,	 OutcomePlan_viewReviewGoals.uim,	 No,	4,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/OutcomePlan_viewReviewGoals.html,	
150,	 Organization_serviceplangroupTypeSearchPopup.uim,		 N/A,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/Organization_serviceplangroupTypeSearchPopup.html,	
150,	 Organization_serviceplanTypeSearchPopup.uim,		 N/A,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/Organization_serviceplanTypeSearchPopup.html,	
150,	 OutcomePlan_addClientsToAction.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/OutcomePlan_addClientsToAction.html,	
150,	 Meeting_viewMeetingView.vim,		 Modal,	 Meeting_viewMeeting.uim,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/Meeting_viewMeeting.html,	
150,	 ServicePlanAdmin_addGoodCausesToPlanItem.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ServicePlanAdmin_addGoodCausesToPlanItem.html,	
150,	 AdminLegalStatus_associateCaseType.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/AdminLegalStatus_associateCaseType.html,	
150,	 CTM_addBusinessObjectsToChangeSet.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/CTM_addBusinessObjectsToChangeSet.html,	
150,	 MDTExternal_investigationHome.uim,		 N/A,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/MDTExternal_investigationHome.html,	
150,	 CaseAudit_confirmCaseAuditAssignment.uim,		 NonModal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/CaseAudit_confirmCaseAuditAssignment.html,	
150,	 MeetingMinutes_issueMinutes.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/MeetingMinutes_issueMinutes.html,	
150,	 Financial_suspenseTransferSearchPerson.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/Financial_suspenseTransferSearchPerson.html,	
150,	 CaseAudit_reassignCaseAudit.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/CaseAudit_reassignCaseAudit.html,	
150,	 ServicePlanAdmin_addApprovalCriteriaToPlanItem.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ServicePlanAdmin_addApprovalCriteriaToPlanItem.html,	
150,	 MDTExternal_inviteAttendeesNotFromCollaborationCase.uim,		 N/A,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/MDTExternal_inviteAttendeesNotFromCollaborationCase.html,	
150,	 LegalAction_createHearing.uim,		 N/A,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/LegalAction_createHearing.html,	
150,	 OutcomePlanAgreement_specifyDateSigned.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/OutcomePlanAgreement_specifyDateSigned.html,	
150,	 Financial_suspenseTransferSearchEmployer.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/Financial_suspenseTransferSearchEmployer.html,	
150,	 AdminLegalAction_associateCases.vim,		 N/A,	 AdminLegalAction_associateIntegratedCases.uim,	 No,	2,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/AdminLegalAction_associateIntegratedCases.html,	
150,	 MDTExternal_createMeeting.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/MDTExternal_createMeeting.html,	
150,	 ServicePlanAdmin_addSubGoalsToGoal.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ServicePlanAdmin_addSubGoalsToGoal.html,	
150,	 Organization_planitemTypeSearchPopup.uim,		 N/A,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/Organization_planitemTypeSearchPopup.html,	
150,	 OutcomePlanningAdmin_createRecommendationFromFactor.vim,		 Modal,	 OutcomePlanningAdmin_createRecommendActionFromViewFactorFromList.uim,	 No,	2,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/OutcomePlanningAdmin_createRecommendActionFromViewFactorFromList.html,	
150,	 OutcomePlan_viewReviewActivities.uim,		 N/A,	 N/A,	 No,	4,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/OutcomePlan_viewReviewActivities.html,	
150,	 CaseAudit_reassignCaseAudits.uim,		 NonModal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/CaseAudit_reassignCaseAudits.html,	
150,	 DecisionAssistAdmin_listPDDecisionMatrices.uim,		 NonModal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/DecisionAssistAdmin_listPDDecisionMatrices.html,	
150,	 ProviderManagement_placeSearchCriteria.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProviderManagement_placeSearchCriteria.html,	
150,	 ServicePlanDelivery_listAuthorizationHistory.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ServicePlanDelivery_listAuthorizationHistory.html,	
150,	 AdminLegalAction_associateCaseType.uim,		 N/A,	 N/A,	 No,	2,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/AdminLegalAction_associateCaseType.html,	
150,	 ServicePlanAdmin_addICToServicePlan.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ServicePlanAdmin_addICToServicePlan.html,	
150,	 SocialEnterpriseFolder_listAddressPopup.uim,		 N/A,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/SocialEnterpriseFolder_listAddressPopup.html,	
150,	 MDTExternal_createCollaborationMeeting.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/MDTExternal_createCollaborationMeeting.html,	
150,	 AdminLegalAction_listExistingLegalActionForCategoryView.vim,		 Modal,	 AdminLegalAction_createExistingLegalAction.uim,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/AdminLegalAction_createExistingLegalAction.html,	
150,	 OutcomePlan_addActivityEvidence.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/OutcomePlan_addActivityEvidence.html,	
150,	 MDTExternal_inviteAttendeesNotFromCase.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/MDTExternal_inviteAttendeesNotFromCase.html,	
150,	 DAAssessmentConfiguration_decisionMatrixQuestionPopup.uim,		 N/A,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/DAAssessmentConfiguration_decisionMatrixQuestionPopup.html,	
150,	 OutcomePlan_addObjectivesToActivityView.vim,		 Modal,	 OutcomePlan_addObjectivesToReferral.uim,	 No,	2,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/OutcomePlan_addObjectivesToReferral.html,	
150,	 Evidence_discardPendingUpdate.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/Evidence_discardPendingUpdate.html,	
150,	 DecisionAssistAdmin_searchICDCodesAdd.uim,		 NonModal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/DecisionAssistAdmin_searchICDCodesAdd.html,	
150,	 DecisionMatrixQuestionPopup.uim,		 NonModal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/DecisionMatrixQuestionPopup.html,	
150,	 OutcomePlanningAdmin_editRecommendAction.vim,		 Modal,	 OutcomePlanningAdmin_editRecommendationFromOutcomePlanAdmin.uim,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/OutcomePlanningAdmin_editRecommendationFromOutcomePlanAdmin.html,	
155,	 CalendarMeetingMinutes_createActionViewFromAgenda.vim,		 N/A,	 CalendarMeetingActions_modify.uim,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/CalendarMeetingActions_modify.html,	
155,	 CalendarMeetingActions_modify.uim,		 NonModal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/CalendarMeetingActions_modify.html,	
160,	 Application_SearchForClients.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/Application_SearchForClients.html,	
160,	 PersonalizedPageAdmin_editSelectedPods.uim,		 NonModal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/PersonalizedPageAdmin_editSelectedPods.html,	
